Evento,Data,Local,Lutador_1,Lutador_2,Categoria,Disputa_Cinturao,Metodo,Round,Tempo,Tempo_Segundos
UFC 324: Gaethje vs. Pimblett,2026-01-24,"Las Vegas, Nevada, USA",Justin Gaethje,Paddy Pimblett,Lightweight,1,U-DEC,5,5:00,300
UFC 324: Gaethje vs. Pimblett,2026-01-24,"Las Vegas, Nevada, USA",Ateba Gautier,Andrey Pulyaev,Middleweight,0,U-DEC,3,5:00,300
UFC 324: Gaethje vs. Pimblett,2026-01-24,"Las Vegas, Nevada, USA",Sean O'Malley,Song Yadong,Bantamweight,0,U-DEC,3,5:00,300
UFC 324: Gaethje vs. Pimblett,2026-01-24,"Las Vegas, Nevada, USA",Ty Miller,Adam Fugitt,Welterweight,0,KO/TKO Punches,1,4:59,299
UFC 324: Gaethje vs. Pimblett,2026-01-24,"Las Vegas, Nevada, USA",Josh Hokit,Denzel Freeman,Heavyweight,0,KO/TKO Punches,1,4:59,299
UFC 324: Gaethje vs. Pimblett,2026-01-24,"Las Vegas, Nevada, USA",Nikita Krylov,Modestas Bukauskas,Light Heavyweight,0,KO/TKO Punch,3,4:57,297
UFC 324: Gaethje vs. Pimblett,2026-01-24,"Las Vegas, Nevada, USA",Alex Perez,Charles Johnson,Flyweight,0,KO/TKO Punch,1,3:16,196
UFC 324: Gaethje vs. Pimblett,2026-01-24,"Las Vegas, Nevada, USA",Umar Nurmagomedov,Deiveson Figueiredo,Bantamweight,0,U-DEC,3,5:00,300
UFC 324: Gaethje vs. Pimblett,2026-01-24,"Las Vegas, Nevada, USA",Jean Silva,Arnold Allen,Featherweight,0,U-DEC,3,5:00,300
UFC 324: Gaethje vs. Pimblett,2026-01-24,"Las Vegas, Nevada, USA",Natalia Silva,Rose Namajunas,Women's Flyweight,0,U-DEC,3,5:00,300
UFC 324: Gaethje vs. Pimblett,2026-01-24,"Las Vegas, Nevada, USA",Waldo Cortes Acosta,Derrick Lewis,Heavyweight,0,KO/TKO Punches,2,3:14,194
UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",Yaroslav Amosov,Neil Magny,Welterweight,0,SUB Anaconda Choke,1,3:14,194
UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",Jamey-Lyn Horth,Tereza Bleda,Women's Flyweight,0,KO/TKO Punches,1,2:05,125
UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",Guilherme Pat,Allen Frye Jr.,Heavyweight,0,U-DEC,3,5:00,300
UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",Luana Santos,Melissa Croden,Women's Bantamweight,0,U-DEC,3,5:00,300
UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",Steven Asplund,Sean Sharaf,Heavyweight,0,KO/TKO Punches,2,3:49,229
UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",Joanderson Brito,Isaac Thomson,Featherweight,0,U-DEC,3,5:00,300
UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",Melquizael Costa,Morgan Charriere,Featherweight,0,KO/TKO Kick,1,1:14,74
UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",King Green,Lance Gibson Jr.,Catch Weight,0,S-DEC,3,5:00,300
UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",Kennedy Nzechukwu,Marcus Buchecha,Heavyweight,0,U-DEC,3,5:00,300
UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",Cezary Oleksiejczuk,Cesar Almeida,Middleweight,0,U-DEC,3,5:00,300
UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",Kevin Vallejos,Giga Chikadze,Featherweight,0,KO/TKO Spinning Back Fist,2,1:29,89
UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",Manel Kape,Brandon Royval,Flyweight,0,KO/TKO Punches,1,3:18,198
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,"Las Vegas, Nevada, USA",Maycee Barber,Karine Silva,Women's Flyweight,0,U-DEC,3,5:00,300
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,"Las Vegas, Nevada, USA",Mairon Santos,Muhammad Naimov,Featherweight,0,KO/TKO Punches,3,0:21,21
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,"Las Vegas, Nevada, USA",Iwo Baraniewski,Ibo Aslan,Light Heavyweight,0,KO/TKO Punches,1,1:29,89
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,"Las Vegas, Nevada, USA",Jalin Turner,Edson Barboza,Lightweight,0,KO/TKO Punches,1,2:24,144
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,"Las Vegas, Nevada, USA",Brunno Ferreira,Marvin Vettori,Middleweight,0,U-DEC,3,5:00,300
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,"Las Vegas, Nevada, USA",Fares Ziam,Nazim Sadykhov,Lightweight,0,KO/TKO Punches,2,4:59,299
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,"Las Vegas, Nevada, USA",Mansur Abdul-Malik,Antonio Trocoli,Middleweight,0,SUB Guillotine Choke,1,1:09,69
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,"Las Vegas, Nevada, USA",Chris Duncan,Terrance McKinney,Lightweight,0,SUB Anaconda Choke,1,2:30,150
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,"Las Vegas, Nevada, USA",Jan Blachowicz,Bogdan Guskov,Light Heavyweight,0,M-DEC,3,5:00,300
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,"Las Vegas, Nevada, USA",Payton Talbott,Henry Cejudo,Bantamweight,0,U-DEC,3,5:00,300
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,"Las Vegas, Nevada, USA",Tatsuro Taira,Brandon Moreno,Flyweight,0,KO/TKO Punches,2,2:24,144
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,"Las Vegas, Nevada, USA",Petr Yan,Merab Dvalishvili,Bantamweight,1,U-DEC,5,5:00,300
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,"Las Vegas, Nevada, USA",Joshua Van,Alexandre Pantoja,Flyweight,1,KO/TKO,1,0:26,26
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,"Las Vegas, Nevada, USA",Manuel Torres,Grant Dawson,Lightweight,0,KO/TKO Punch,1,2:25,145
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar",Nicolas Dalby,Saygid Izagakhmaev,Welterweight,0,S-DEC,3,5:00,300
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar",Nurullo Aliev,Shem Rock,Lightweight,0,U-DEC,3,5:00,300
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar",Ismail Naurdiev,Ryan Loder,Middleweight,0,KO/TKO Punch,1,1:26,86
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar",Aleksandre Topuria,Bekzat Almakhan,Bantamweight,0,U-DEC,3,5:00,300
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar",Abdul Rakhman Yakhyaev,Rafael Cerqueira,Light Heavyweight,0,SUB Rear Naked Choke,1,0:33,33
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar",Asu Almabayev,Alex Perez,Flyweight,0,SUB Guillotine Choke,3,0:22,22
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar",Denzel Freeman,Marek Bujlo,Heavyweight,0,U-DEC,3,5:00,300
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar",Luke Riley,Bogdan Grad,Featherweight,0,KO/TKO Punches,2,0:30,30
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar",Waldo Cortes Acosta,Shamil Gaziev,Heavyweight,0,KO/TKO Punch,1,1:22,82
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar",Myktybek Orolbai,Jack Hermansson,Welterweight,0,KO/TKO Punch,1,2:46,166
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar",Volkan Oezdemir,Alonzo Menifield,Light Heavyweight,0,KO/TKO Punches,1,1:27,87
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar",Ian Machado Garry,Belal Muhammad,Welterweight,0,U-DEC,3,5:00,300
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar",Arman Tsarukyan,Dan Hooker,Lightweight,0,SUB Arm Triangle,2,3:34,214
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar",Kyoji Horiguchi,Tagir Ulanbekov,Flyweight,0,SUB Rear Naked Choke,3,2:18,138
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,"New York City, New York, USA",Erin Blanchfield,Tracy Cortez,Women's Flyweight,0,SUB Rear Naked Choke,2,4:44,284
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,"New York City, New York, USA",Matheus Camilo,Viacheslav Borshchev,Lightweight,0,U-DEC,3,5:00,300
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,"New York City, New York, USA",Baisangur Susurkaev,Eric McConico,Middleweight,0,KO/TKO Punch,3,1:38,98
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,"New York City, New York, USA",Fatima Kline,Angela Hill,Women's Strawweight,0,U-DEC,3,5:00,300
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,"New York City, New York, USA",Pat Sabatini,Chepe Mariscal,Featherweight,0,U-DEC,3,5:00,300
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,"New York City, New York, USA",Kyle Daukaus,Gerald Meerschaert,Middleweight,0,SUB D'Arce Choke,1,0:50,50
