Evento,Lutador_1,Lutador_2,Categoria,Disputa_Cinturao,Metodo,Round,Tempo
UFC 324: Gaethje vs. Pimblett,Justin Gaethje,Paddy Pimblett,Lightweight,1,U-DEC,5,5:00
UFC 324: Gaethje vs. Pimblett,Sean O'Malley,Song Yadong,Bantamweight,0,U-DEC,3,5:00
UFC 324: Gaethje vs. Pimblett,Waldo Cortes Acosta,Derrick Lewis,Heavyweight,0,KO/TKO Punches,2,3:14
UFC 324: Gaethje vs. Pimblett,Natalia Silva,Rose Namajunas,Women's Flyweight,0,U-DEC,3,5:00
UFC 324: Gaethje vs. Pimblett,Jean Silva,Arnold Allen,Featherweight,0,U-DEC,3,5:00
UFC 324: Gaethje vs. Pimblett,Umar Nurmagomedov,Deiveson Figueiredo,Bantamweight,0,U-DEC,3,5:00
UFC 324: Gaethje vs. Pimblett,Ateba Gautier,Andrey Pulyaev,Middleweight,0,U-DEC,3,5:00
UFC 324: Gaethje vs. Pimblett,Nikita Krylov,Modestas Bukauskas,Light Heavyweight,0,KO/TKO Punch,3,4:57
UFC 324: Gaethje vs. Pimblett,Alex Perez,Charles Johnson,Flyweight,0,KO/TKO Punch,1,3:16
UFC 324: Gaethje vs. Pimblett,Josh Hokit,Denzel Freeman,Heavyweight,0,KO/TKO Punches,1,4:59
UFC 324: Gaethje vs. Pimblett,Ty Miller,Adam Fugitt,Welterweight,0,KO/TKO Punches,1,4:59
UFC Fight Night: Royval vs. Kape,Manel Kape,Brandon Royval,Flyweight,0,KO/TKO Punches,1,3:18
UFC Fight Night: Royval vs. Kape,Kevin Vallejos,Giga Chikadze,Featherweight,0,KO/TKO Spinning Back Fist,2,1:29
UFC Fight Night: Royval vs. Kape,Cezary Oleksiejczuk,Cesar Almeida,Middleweight,0,U-DEC,3,5:00
UFC Fight Night: Royval vs. Kape,Melquizael Costa,Morgan Charriere,Featherweight,0,KO/TKO Kick,1,1:14
UFC Fight Night: Royval vs. Kape,Kennedy Nzechukwu,Marcus Buchecha,Heavyweight,0,U-DEC,3,5:00
UFC Fight Night: Royval vs. Kape,King Green,Lance Gibson Jr.,Catch Weight,0,S-DEC,3,5:00
UFC Fight Night: Royval vs. Kape,Yaroslav Amosov,Neil Magny,Welterweight,0,SUB Anaconda Choke,1,3:14
UFC Fight Night: Royval vs. Kape,Joanderson Brito,Isaac Thomson,Featherweight,0,U-DEC,3,5:00
UFC Fight Night: Royval vs. Kape,Steven Asplund,Sean Sharaf,Heavyweight,0,KO/TKO Punches,2,3:49
UFC Fight Night: Royval vs. Kape,Luana Santos,Melissa Croden,Women's Bantamweight,0,U-DEC,3,5:00
UFC Fight Night: Royval vs. Kape,Guilherme Pat,Allen Frye Jr.,Heavyweight,0,U-DEC,3,5:00
UFC Fight Night: Royval vs. Kape,Jamey-Lyn Horth,Tereza Bleda,Women's Flyweight,0,KO/TKO Punches,1,2:05
UFC 323: Dvalishvili vs. Yan 2,Petr Yan,Merab Dvalishvili,Bantamweight,1,U-DEC,5,5:00
UFC 323: Dvalishvili vs. Yan 2,Joshua Van,Alexandre Pantoja,Flyweight,1,KO/TKO,1,0:26
UFC 323: Dvalishvili vs. Yan 2,Tatsuro Taira,Brandon Moreno,Flyweight,0,KO/TKO Punches,2,2:24
